,stdev
sh600732,0.03159288815684956
sh600733,0.031113112218487147
sh600734,0.037339486978413224
sh600735,0.032732992182377824
sh600736,0.026967118347568323
sh600737,0.027814736535743723
sh600738,0.027773620773666356
sh600739,0.025020994290759973
sh600740,0.031828904156187623
sh600741,0.02360763347025225
sh600742,0.025545134562677783
sh600743,0.02591824912051168
sh600744,0.03113428563576236
sh600745,0.035690088028346355
sh600746,0.032562827789131374
sh600748,0.02781592235440128
sh600749,0.029518443323070426
sh600750,0.02351003186442637
sh600751,0.03899587208719378
sh600753,0.03406588251595767
sh600754,0.025518067703603358
sh600755,0.025176542774897004
sh600756,0.03280246728371304
sh600757,0.025231008309158254
sh600758,0.03100291728232659
sh600759,0.031046335808009386
sh600760,0.0336289441908177
sh600761,0.0242657561815837
sh600763,0.028265394635032855
sh600764,0.031799348253536204
sh600765,0.032414272661359704
sh600766,0.03050241475852072
sh600767,0.031010784238601458
sh600768,0.030287202414461412
sh600769,0.030823410625653785
sh600770,0.030033096260820753
sh600771,0.030486013734765772
sh600773,0.034086169649785364
sh600774,0.029565633858580357
sh600775,0.031218471781374324
sh600776,0.03200004677689391
sh600777,0.02685733336128264
sh600778,0.024355349545041455
sh600779,0.027893100625582704
sh600780,0.025222304150796526
sh600781,0.027090478424490506
sh600782,0.02909494893146829
sh600783,0.03256115656067
sh600784,0.030100488974093665
sh600785,0.025581785826780477
sh600787,0.027579918683407322
sh600789,0.03042859813827477
sh600790,0.02232046869557223
sh600791,0.029496705174898174
sh600792,0.03047137313110428
sh600793,0.026783449206170304
sh600794,0.02712886906496143
sh600795,0.019097471356397173
sh600796,0.028116947498978206
sh600797,0.030646065299332777
sh600798,0.028964359034323255
sh600800,0.032219606805666476
sh600801,0.029993423428447647
sh600802,0.02912269023432754
sh600803,0.028163158163574228
sh600804,0.031020651543320506
sh600805,0.025498122685360614
sh600807,0.03423858199259278
sh600808,0.02459397714735861
sh600809,0.02845995450515794
sh600810,0.031248782700446186
sh600811,0.022914695051247942
sh600812,0.028603817901234594
sh600814,0.026716530275317542
sh600815,0.02842036293505082
sh600816,0.030585373930278086
sh600817,0.02336805921844357
